Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,874,0,89,135.80256048055332,22.51689800004897,1298.932043999912,10911.026315789473,1.070574286294631,0.0,89,120,160,190,310,380,610,860,1300,1300,1300
GET,/cart,2331,0,64,102.31975065594273,16.462928000009924,1189.0953600000103,14182.568854568855,2.8552730679093647,0.0,64,94,110,140,190,290,630,810,1100,1200,1200
POST,/cart,2217,0,100,128.70209681822456,22.655461999875115,1900.1385179999488,18380.83400992332,2.715632943610065,0.0,100,120,160,180,210,280,400,580,1700,1900,1900
POST,/cart/checkout,760,3,93,108.3647353618486,17.220970000153102,1956.5429050001057,6982.0842105263155,0.9309341619953313,0.0036747401131394654,93,100,110,120,180,200,280,390,2000,2000,2000
GET,/product/0PUK6V6EV0,1105,0,53,92.91599296832423,17.572008000115602,1237.7179070001603,8197.235294117647,1.3535292750063699,0.0,53,83,100,120,170,260,600,860,1200,1200,1200
GET,/product/1YMWWN1N4O,1124,0,55,95.12833145285057,17.55459199989673,1006.370846999971,8219.842526690392,1.3768026290562532,0.0,55,86,100,110,180,290,660,860,1000,1000,1000
GET,/product/2ZYFJ3GM2N,1117,0,57,98.11209518710567,17.79810199991516,1184.1044269999657,8213.002685765443,1.3682282354589277,0.0,57,86,100,120,170,360,690,840,1100,1200,1200
GET,/product/66VCHSJNUP,997,0,51,96.4709436379133,17.526324000073146,1197.7986690001217,8181.0120361083245,1.221238630933349,0.0,51,81,100,120,180,350,690,800,1200,1200,1200
GET,/product/6E92ZMYYFZ,1117,0,61,101.02449436705479,17.91967300005126,1358.7217699998746,8171.29811996419,1.3682282354589277,0.0,61,90,110,130,180,360,660,800,1200,1400,1400
GET,/product/9SIQT8TOJO,1124,0,53,94.15219969394802,17.29500100009318,1288.6531770000147,8223.838078291816,1.3768026290562532,0.0,53,82,99,110,160,270,680,900,1300,1300,1300
GET,/product/L9ECAV7KIM,1116,0,51,92.37882048028548,17.24089799995454,1269.9169819998133,8188.121863799283,1.3670033220878812,0.0,51,82,100,110,170,300,630,830,1100,1300,1300
GET,/product/LS4PSXUNUM,1116,0,53,90.35403609677657,17.08403299994643,1209.4456009999703,8187.051075268817,1.3670033220878812,0.0,53,79,98,110,170,260,590,760,1000,1200,1200
GET,/product/OLJCESPC7Z,1093,0,52,92.90118444831171,17.644333999896844,1169.301221999831,8218.543458371454,1.3388303145538119,0.0,52,83,100,120,160,280,610,860,1100,1200,1200
POST,/setCurrency,1530,0,87,119.72549607320096,23.442015000000538,1296.4484009999069,10918.959477124183,1.8741174577011275,0.0,87,120,140,160,210,310,670,840,1100,1300,1300
,Aggregated,17621,3,70,104.85102924192721,16.462928000009924,1956.5429050001057,10590.456954769877,21.584198511210175,0.0036747401131394654,70,98,120,130,190,290,610,820,1300,1900,2000
